# События режима «Кто раньше». Источник — хронологическая таблица владельца
# (message (1).txt, 23.09.2026), вычищенная вручную. Сборка: node tools-and-docs/build-order-data.js
#
# Строка: ДАТА [@ПОДПИСЬ] | ТЕКСТ
#   ДАТА — Г, Г.М или Г.М.Д; интервал через «-»: 1905-1907, 1941.06.22-1945.05.09.
#   @ПОДПИСЬ — как показать дату, если по ДАТЕ её не собрать («IX век», «907, 911»).
#
# 🔴 В тексте НЕ должно быть года: игрок видит текст до ответа. Поэтому
#    «Отечественная война 1812 года» здесь «Отечественная война с Наполеоном».
# 🔴 Интервал — это правда о длительности. Пара, чьи интервалы пересекаются,
#    в игру не попадает никогда: «Северная война» и «Полтавская битва» несравнимы.
#    Сомневаешься в границах — ставь ШИРЕ: лишний запрет безопасен, ложный ответ нет.
#
# Исправлено против исходника: дубли (Туркманчай, русско-турецкая 1828–1829,
# Беловежские соглашения); гибель Грибоедова убрана из Туркманчайского мира (1829,
# а не 1828); Калиакрия — 1791; университетский устав — 1804; первая кругосветка —
# 1803–1806; Фёдор Иоаннович — 1584–1598; Лжедмитрий I — 1605–1606; Прутский
# поход — 1711; Первая мировая — до 11 ноября 1918; Гражданская война — 1918–1922;
# Транссиб — 1891–1916; франко-русский союз — 1891–1894; разорванные строки собраны.

800-899 @IX век | Образование Древнерусского государства
1325-1340 | Правление Ивана Калиты
1326 | Перенос резиденции митрополита из Владимира в Москву
1327 | Восстание в Твери против Золотой Орды
1359-1389 | Правление Дмитрия Ивановича (Донского)
1360-1430 @около 1360–1430 | Жизнь и деятельность Андрея Рублёва
1378 | Битва на реке Воже
1380.09.08 | Куликовская битва
1382 | Разорение Москвы Тохтамышем
1389-1425 | Княжение Василия I Дмитриевича
1410.07.15 | Грюнвальдская битва
1425-1453 | Династическая война потомков Дмитрия Донского
1439 | Флорентийская церковная уния
1448 | Избрание Ионы митрополитом. Автокефалия Русской церкви
1453 | Падение Византийской империи
1462-1505 | Княжение Ивана III
1463 | Присоединение Ярославля к Москве
1469-1472 | Путешествие Афанасия Никитина в Индию
1471 | Битва на реке Шелони
1478 | Присоединение Новгорода к Москве
1480 | «Стояние на реке Угре». Конец ордынского ига
1484-1508 | Строительство нынешнего Московского Кремля
1485 | Присоединение Твери к Москве
1497 | Судебник Ивана III. Юрьев день
1503 | Спор нестяжателей и иосифлян на церковном соборе
1503 | Присоединение юго-западных русских земель к Москве
1505-1533 | Правление Василия III
1510 | Присоединение Пскова к Москве
1514 | Присоединение Смоленска к Москве
1521 | Присоединение Рязани к Москве
1533-1584 | Правление Ивана IV Грозного
1547 | Венчание Ивана IV на царство
1549 | Созыв первого Земского собора
1550 | Судебник Ивана IV
1551 | Стоглавый собор
1552 | Присоединение Казани
1555-1560 | Строительство собора Покрова на Рву (храма Василия Блаженного)
1556 | Присоединение Астрахани
1556 | Принятие «Уложения о службе»
1558-1583 | Ливонская война
1561 | Разгром Ливонского ордена
1564 | Выход «Апостола» Ивана Фёдорова — начало книгопечатания
1565-1572 | Опричнина
1569 | Люблинская уния. Образование Речи Посполитой
1581-1585 | Поход Ермака в Сибирь
1582 | Ям-Запольское перемирие с Речью Посполитой
1583 | Плюсское перемирие со Швецией
1584-1598 | Царствование Фёдора Иоанновича
1589 | Учреждение патриаршества на Руси
1597 | Указ об «урочных летах»
1598-1605 | Правление Бориса Годунова
1603 | Восстание Хлопка
1605-1606 | Правление Лжедмитрия I
1606-1607 | Восстание Ивана Болотникова
1606-1610 | Правление Василия Шуйского
1607-1610 | «Тушинский лагерь» Лжедмитрия II
1609-1611 | Оборона Смоленска
1610-1613 | «Семибоярщина»
1611.03-1611.06 | Первое ополчение во главе с П. Ляпуновым
1611-1612 | Второе ополчение К. Минина и Д. Пожарского
1612.10.26 | Освобождение Москвы от польских интервентов
1613 | Избрание Михаила Романова на царство
1613-1645 | Царствование Михаила Фёдоровича
1617 | Столбовский мир со Швецией
1618 | Деулинское перемирие с Польшей
1632-1634 | Смоленская война
1645-1676 | Правление Алексея Михайловича
1648 | Экспедиция Семёна Дежнёва
1648 | Начало восстания Богдана Хмельницкого
1648 | Соляной бунт в Москве
1649 | Соборное уложение. Окончательное закрепощение крестьян
1653-1656 @около 1653–1656 | Реформа патриарха Никона. Начало церковного раскола
1654.01.08 | Переяславская рада
1654-1667 | Война с Речью Посполитой за Украину
1662 | Медный бунт в Москве
1667 | Андрусовское перемирие
1667 | Новоторговый устав
1667-1671 | Восстание Степана Разина
1672 | Рождение Петра I
1676-1682 | Правление Фёдора Алексеевича
1682 | Отмена местничества
1682-1698 @1682, 1698 | Стрелецкие восстания в Москве
1682-1725 | Царствование Петра I
1686 | «Вечный мир» с Польшей
1687 | Открытие Славяно-греко-латинской академии
1695-1696 @1695, 1696 | Азовские походы Петра I
1697-1698 | «Великое посольство»
1700-1721 | Северная война
1703.05.16 | Основание Санкт-Петербурга
1707-1708 | Восстание Кондратия Булавина
1708.09.28 | Битва при Лесной
1709.06.27 | Полтавская битва
1711 | Прутский поход
1711 | Учреждение Сената
1711-1765 | Жизнь и деятельность М. В. Ломоносова
1714 | Указ о единонаследии
1714.07.27 | Гангутское сражение
1718-1721 | Учреждение коллегий
1720 | Сражение у острова Гренгам
1721 | Ништадтский мир со Швецией
1721 | Провозглашение Петра I императором
1722 | Табель о рангах
1722 | Указ о престолонаследии Петра I
1722-1723 | Каспийский (Персидский) поход
1725 | Открытие Академии наук в Петербурге
1725-1727 | Правление Екатерины I
1727-1730 | Правление Петра II
1730-1740 | Правление Анны Иоанновны. «Бироновщина»
1741-1761 | Правление Елизаветы Петровны
1755.01.25 | Основание Московского университета
1756-1763 | Семилетняя война
1757 | Основание Академии художеств
1761-1762 | Правление Петра III
1762 | Манифест о вольности дворянской
1762-1796 | Правление Екатерины II
1768-1774 | Русско-турецкая война (Екатерины II, первая)
1770 | Победы при Чесме, Ларге и Кагуле
1774 | Кючук-Кайнарджийский мир
1772-1795 @1772, 1793, 1795 | Разделы Речи Посполитой
1772-1839 | Жизнь и деятельность М. М. Сперанского
1773-1775 | Восстание Емельяна Пугачёва
1775 | Губернская реформа
1782 | Открытие памятника «Медный всадник»
1783 | Присоединение Крыма. Георгиевский трактат
1785 | Жалованные грамоты дворянству и городам
1787-1791 | Русско-турецкая война (Екатерины II, вторая)
1789 | Победы А. В. Суворова при Фокшанах и Рымнике
1791 | Победа флота Ф. Ф. Ушакова у мыса Калиакрия
1790 | «Путешествие из Петербурга в Москву» А. Н. Радищева
1790 | Взятие Измаила
1791 | Ясский мир
1794 | Восстание Тадеуша Костюшко
1796-1801 | Правление Павла I
1797 | Указ Павла I о престолонаследии
1797 | Манифест о трёхдневной барщине
1799 | Итальянский и Швейцарский походы А. В. Суворова
1801-1825 | Правление Александра I
1802 | Учреждение министерств
1803 | Указ о «вольных хлебопашцах»
1804 | Университетский устав: автономия университетов
1803-1806 | Первая русская кругосветная экспедиция (Крузенштерн и Лисянский)
1804-1813 | Русско-иранская война. Гюлистанский мир
1805-1807 | Участие России в III и IV антинаполеоновских коалициях
1805.12.02 | Сражение при Аустерлице
1806-1812 | Русско-турецкая война (Александра I)
1807.06.14 | Поражение под Фридландом
1807.07 | Тильзитский мир
1808-1809 | Русско-шведская война. Присоединение Финляндии
1810 | Создание Государственного совета
1812.06-1812.12 | Отечественная война с Наполеоном
1812.05 | Бухарестский мир
1812.08.26 | Бородинская битва
1813-1814 | Заграничные походы русской армии
1813.10 | «Битва народов» под Лейпцигом
1814-1815 | Венский конгресс
1815 | Создание Священного союза
1816 | Начало массового создания военных поселений
1816-1817 | «Союз спасения»
1817-1864 | Кавказская война
1818-1821 | «Союз благоденствия»
1821-1822 | Образование Северного и Южного обществ декабристов
1821-1881 | Жизнь и деятельность Ф. М. Достоевского
1825.12.14 | Восстание декабристов на Сенатской площади
1825.12.29-1826.01.03 | Восстание Черниговского полка
1825-1855 | Правление Николая I
1826-1828 | Русско-иранская война (Николая I)
1828 | Туркманчайский мир
1828-1829 | Русско-турецкая война (Николая I)
1829 | Адрианопольский мир
1831-1839 | Кружок Н. В. Станкевича
1837 | Первая железная дорога Петербург — Царское Село
1837-1841 | Реформа государственной деревни П. Д. Киселёва
1840-1859 @1840–1850-е | Споры славянофилов и западников
1839-1843 | Денежная реформа Е. Ф. Канкрина
1840-1893 | Жизнь и деятельность П. И. Чайковского
1844-1849 | Кружок М. В. Буташевича-Петрашевского
1851 | Железная дорога Москва — Петербург
1853-1856 | Крымская война
1853.11 | Синопское сражение
1855-1881 | Правление Александра II
1856 | Парижский конгресс
1856 | Основание П. М. Третьяковым коллекции русского искусства
1858-1860 @1858, 1860 | Айгунский и Пекинский договоры с Китаем
1861.02.19 | Отмена крепостного права
1862 | Образование «Могучей кучки»
1864 | Земская, судебная и школьная реформы
1864-1885 | Присоединение Средней Азии
1867 | Продажа Аляски США
1870 | Городская реформа
1870-1923 | Товарищество передвижных художественных выставок
1873 | «Союз трёх императоров»
1874 | Военная реформа: всеобщая воинская повинность
1874-1876 @1874, 1876 | «Хождение в народ»
1876-1879 | «Земля и воля»
1877-1878 | Русско-турецкая война (Александра II)
1878 | Сан-Стефанский мир и Берлинский конгресс
1879 | Раскол «Земли и воли»: «Народная воля» и «Чёрный передел»
1879-1882 | Оформление Тройственного союза
1881.03.01 | Убийство Александра II народовольцами
1881-1894 | Правление Александра III
1881-1883 | Отмена временнообязанного положения крестьян
1883-1903 | Группа «Освобождение труда»
1885 | Морозовская стачка
1887 | Циркуляр «о кухаркиных детях»
1889 | Положение о земских участковых начальниках
1891-1894 | Оформление франко-русского союза
1891-1916 | Строительство Транссибирской магистрали
1894-1917 | Правление Николая II
1897 | Первая всеобщая перепись населения. Денежная реформа С. Ю. Витте
1898 | I съезд РСДРП
1899 | Гаагская мирная конференция
1903 | II съезд РСДРП. Появление большевиков
1904-1905 | Русско-японская война
1905.01.09 | «Кровавое воскресенье»
1905-1907 | Первая российская революция
1905.02-1905.03 | Мукденское сражение
1905.05 | Цусимское сражение
1905.06 | Восстание на броненосце «Князь Потёмкин-Таврический»
1905.08 | Портсмутский мир с Японией
1905.10.17 | Манифест «Об усовершенствовании государственного порядка»
1905.12 | Вооружённое восстание в Москве
1906.04-1906.07 | Работа I Государственной думы
1906.11.09 | Указ о выходе крестьян из общины
1907.02-1907.06 | Работа II Государственной думы
1907.06.03 | Роспуск II Думы и новый избирательный закон
1907-1912 | Работа III Государственной думы
1907.08 | Русско-английское соглашение. Оформление Антанты
1912-1917 | Работа IV Государственной думы
1914.08.01-1918.11.11 | Первая мировая война
1915.08 | Создание Прогрессивного блока
1916.05-1916.09 | Брусиловский прорыв
1917.02 | Февральская революция
1917.03.02 | Отречение Николая II. Образование Временного правительства
1917.05 | Первое коалиционное Временное правительство
1917.06 | I Всероссийский съезд Советов
1917.08 | Корниловский мятеж
1917.09.01 | Провозглашение России республикой
1917.10.24-1917.10.26 | Вооружённое восстание в Петрограде. Декреты о мире и о земле
1918.03.03 | Брестский мир
1918-1922 | Гражданская война в России
1918.07.10 | Конституция РСФСР
1918-1921.03 | Политика «военного коммунизма»
1918.07.17 | Расстрел царской семьи в Екатеринбурге
1920-1921 | Крестьянские восстания («антоновщина» и другие)
1921.03.18 | Рижский мир с Польшей
1921.03 | Кронштадтское восстание
1921.03 | X съезд РКП(б). Переход к нэпу
1922.04-1922.05 | Генуэзская конференция
1922.12.30 | Образование СССР
1924.01.31 | Первая Конституция СССР
1925.12 | XIV съезд ВКП(б): курс на индустриализацию
1927.12 | XV съезд ВКП(б): курс на коллективизацию
1928-1932 | Первая пятилетка
1929 | Начало сплошной коллективизации
1930 | Завершение строительства Турксиба
1933-1937 | Вторая пятилетка
1934.09 | Вступление СССР в Лигу Наций
1934.12.01 | Убийство С. М. Кирова
1936.12.05 | Конституция СССР «победившего социализма»
1939.08.23 | Пакт о ненападении с Германией
1939.09.01-1945.09.02 | Вторая мировая война
1939.11-1940.03 | Советско-финляндская война
1941.06.22-1945.05.09 | Великая Отечественная война
1941.07-1941.09 | Смоленское сражение
1941.12.05-1942.01 | Контрнаступление Красной армии под Москвой
1942.11.19-1943.02.02 | Контрнаступление под Сталинградом
1943.07-1943.08 | Курская битва
1943.09-1943.12 | Битва за Днепр. Освобождение Киева
1943.11.28-1943.12.01 | Тегеранская конференция
1944.01.27 | Полное снятие блокады Ленинграда
1944.01-1944.02 | Корсунь-Шевченковская операция
1944.06-1944.08 | Операция «Багратион»
1944.07-1944.08 | Львовско-Сандомирская операция
1944.08 | Ясско-Кишинёвская операция
1945.01-1945.02 | Висло-Одерская операция
1945.02.04-1945.02.11 | Ялтинская конференция
1945.04-1945.05 | Берлинская операция
1945.04.25 | Встреча на Эльбе
1945.05.08 | Капитуляция Германии
1945.07.17-1945.08.02 | Потсдамская конференция
1945.08-1945.09 | Разгром Японии. Окончание Второй мировой войны
1946 | Начало «холодной войны»
1948 | Разрыв отношений с Югославией
1949 | Начало кампании против «космополитизма»
1949.01 | Создание Совета экономической взаимопомощи (СЭВ)
1949.08 | Испытание первой советской атомной бомбы
1953.03.05 | Смерть И. В. Сталина
1953.08 | Испытание советской водородной бомбы
1953.09 | Избрание Н. С. Хрущёва первым секретарём ЦК КПСС
1954.06 | Пуск Обнинской АЭС
1955.05 | Образование Организации Варшавского договора
1956.02 | XX съезд КПСС. Доклад «О культе личности»
1956.10-1956.11 | Восстание в Венгрии
1957.10.04 | Запуск первого искусственного спутника Земли
1961.04.12 | Полёт Ю. А. Гагарина в космос
1961.10 | XXII съезд КПСС. Программа построения коммунизма
1962.10 | Карибский кризис
1962.06 | Новочеркасские события
1963.08 | Московский договор о запрещении ядерных испытаний в трёх средах
1965 | Экономическая реформа А. Н. Косыгина
1968.08 | Ввод войск ОВД в Чехословакию
1972.05 | Договор ОСВ-1
1975.08 | Совещание по безопасности и сотрудничеству в Европе (Хельсинки)
1979-1989 | Война в Афганистане
1980.07-1980.08 | Олимпийские игры в Москве
1985.03 | Избрание М. С. Горбачёва генеральным секретарём ЦК КПСС
1986.04.26 | Авария на Чернобыльской АЭС
1987.12 | Договор о ликвидации ракет средней и меньшей дальности
1988.06-1988.07 | XIX партийная конференция
1989.05-1989.06 | I съезд народных депутатов СССР
1990.03 | Горбачёв — президент СССР. Отмена 6-й статьи Конституции
1990.06.12 | Декларация о государственном суверенитете РСФСР
1991.06.12 | Избрание Б. Н. Ельцина президентом РСФСР
1991.07 | Договор ОСНВ-1
1991.08.19-1991.08.21 | ГКЧП — попытка государственного переворота
1991.12.08 | Беловежские соглашения. Создание СНГ
1991.12.25 | Отставка М. С. Горбачёва с поста президента СССР
1992 | Экономическая реформа Е. Т. Гайдара
1993.10.03-1993.10.04 | Вооружённые столкновения сторонников Верховного Совета с войсками в Москве
1993.12.12 | Выборы в Федеральное собрание и референдум по Конституции РФ
1994 | Присоединение России к программе НАТО «Партнёрство во имя мира»
1994.12 | Начало военных действий против чеченских сепаратистов
1996.02 | Вступление России в Совет Европы
1996.07 | Переизбрание Б. Н. Ельцина президентом
1997 | Создание телеканала «Культура»
1998.08 | Финансовый кризис (дефолт)
1999.09 | Начало контртеррористической операции в Чечне
2000.03 | Избрание В. В. Путина президентом
2004.03 | Переизбрание В. В. Путина на второй срок
2006 | Старт приоритетных национальных проектов
2008.03 | Избрание Д. А. Медведева президентом
2008.08 | Операция по принуждению Грузии к миру
2008.11 | Закон об увеличении сроков полномочий президента и Госдумы
